log2_N,Init_T,FFT_T,RMS_T,Total_T
8,190,33,1,224
8,134,29,0,163
8,132,30,0,162
8,131,30,0,161
8,131,28,0,159
8,131,29,0,160
8,131,27,0,158
8,130,29,0,159
8,132,29,1,162
8,130,30,0,160
9,202,46,1,249
9,200,43,0,243
9,198,43,1,242
9,196,44,0,240
9,194,83,0,277
9,203,43,1,247
9,196,43,0,239
9,195,43,0,238
9,196,44,0,240
9,197,44,0,241
10,312,63,1,376
10,312,62,0,374
10,323,62,1,386
10,323,61,1,385
10,325,62,1,388
10,324,61,0,385
10,326,61,0,387
10,323,63,0,386
10,322,64,0,386
10,323,62,0,385
11,595,121,0,716
11,584,114,1,699
11,580,115,0,695
11,579,118,0,697
11,584,116,1,701
11,580,115,0,695
11,579,117,0,696
11,584,115,0,699
11,579,118,0,697
11,578,115,1,694
12,1120,288,1,1409
12,1098,288,1,1387
12,1095,290,1,1386
12,1094,286,0,1380
12,1096,288,0,1384
12,1145,288,0,1433
12,1097,290,0,1387
12,1099,284,0,1383
12,1092,288,1,1381
12,1098,287,1,1386
13,2154,785,1,2940
13,2122,784,0,2906
13,2125,787,0,2912
13,2164,784,1,2949
13,2123,756,0,2879
13,2114,785,0,2899
13,2346,785,0,3131
13,2128,784,0,2912
13,2125,783,1,2909
13,2119,784,1,2904
14,4241,1584,0,5825
14,4287,1548,0,5835
14,4124,1549,1,5674
14,4180,1581,0,5761
14,4242,1550,1,5793
14,4120,1548,0,5668
14,4262,1547,1,5810
14,4179,1529,1,5709
14,4128,1544,0,5672
14,4183,1555,0,5738
15,8416,3353,1,11770
15,8266,3331,1,11598
15,8335,3354,0,11689
15,8272,3325,1,11598
15,8275,3360,0,11635
15,8330,3261,0,11591
15,8484,3404,1,11889
15,8350,3379,0,11729
15,8255,4040,1,12296
15,8330,3359,1,11690
16,16748,6641,0,23389
16,16531,6560,0,23091
16,16577,6632,0,23209
16,16499,6625,1,23125
16,16518,6560,0,23078
16,16518,6641,1,23160
16,16494,6580,0,23074
16,16507,6627,0,23134
16,16609,6625,1,23235
16,16515,6564,1,23080
17,33620,16528,0,50148
17,32971,16508,1,49480
17,32914,16589,0,49503
17,32919,16499,1,49419
17,32919,16524,1,49444
17,32929,16584,0,49513
17,32976,16545,0,49521
17,32946,16511,1,49458
17,32957,16521,1,49479
17,33066,16518,0,49584
18,67044,44140,1,111185
18,65965,44178,1,110144
18,65794,44176,1,109971
18,65797,44258,0,110055
18,65899,44097,0,109996
18,65865,44165,1,110031
18,65760,44145,1,109906
18,65789,44114,0,109903
18,65768,44153,1,109922
18,65938,44109,1,110048
19,133792,97511,0,231303
19,131515,97473,1,228989
19,131885,97434,0,229319
19,131484,97642,0,229126
19,131604,97464,1,229069
19,131563,97533,0,229096
19,131596,97421,0,229017
19,131738,97469,1,229208
19,131846,97448,1,229295
19,131702,97545,1,229248
20,267077,195784,0,462861
20,263548,195754,0,459302
20,262867,195889,1,458757
20,263068,195612,1,458681
20,262995,195650,1,458646
20,263243,195792,1,459036
20,263342,195770,0,459112
20,262864,195567,1,458432
20,263461,195651,0,459112
20,263151,195636,0,458787
21,533351,391485,1,924837
21,526227,391428,1,917656
21,526448,391364,1,917813
21,526557,391395,0,917952
21,526174,391538,1,917713
21,525994,391426,2,917422
21,526020,391364,1,917385
21,526177,391276,0,917453
21,526804,391296,1,918101
21,526344,391452,1,917797
22,1066505,813657,1,1880163
22,1052545,813692,1,1866238
22,1052592,813596,1,1866189
22,1052583,813783,1,1866367
22,1052520,813791,1,1866312
22,1052043,813665,1,1865709
22,1052671,813850,1,1866522
22,1052452,814352,1,1866805
22,1052347,813863,1,1866211
22,1052801,813598,1,1866400
